COUNTY_NAME,MUNICIPALITY,MUNICIPALITY_NAME,VOTINGDISTRICT,VOTINGDISTRIC_NAME,VALID_VOTES,VOTES,ELIGIBLE_VOTERS,ELECTION_PARTICIPATION,M,C,L,KD,S,V,MP,SD,FI,AfS,BLANK
Stockholms län,0180,Stockholm,01802710,Bromma 10 Beckomberga S,1224,1229,1459,84.24,28.27,9.56,9.89,5.39,19.93,7.19,5.39,12.42,0.57,0.33,0.24
Stockholms län,0180,Stockholm,01802711,Bromma 11 Norra Ängby mellersta,1172,1175,1234,95.22,28.07,15.7,18.86,4.95,13.74,4.1,6.74,6.14,0.43,0.26,0.17
Stockholms län,0180,Stockholm,01802712,Bromma 12 Norra Ängby Ö,1375,1381,1505,91.76,27.35,13.67,12.95,8.87,14.62,6.84,8.95,4.73,0.73,0.58,0.43
Stockholms län,0180,Stockholm,01802713,Bromma 13 Norra Ängby V,1088,1092,1187,92,28.13,14.43,12.68,4.78,15.9,5.51,7.35,10.11,0.37,0.09,0.27
Stockholms län,0180,Stockholm,01802714,Bromma 14 Blackeberg V,795,807,989,81.6,11.45,6.16,5.03,3.27,31.07,18.49,8.55,12.96,0.88,0.75,1.36
Stockholms län,0180,Stockholm,01802715,Bromma 15 Blackeberg mellersta,1147,1155,1371,84.25,16.48,8.28,4.88,4.8,27.46,14.91,8.63,11.51,0.96,0.35,0.61
Stockholms län,0180,Stockholm,01802716,Bromma 16 Blackeberg gård,722,722,927,77.89,19.25,9.28,9.14,4.71,23.82,12.05,8.73,9.56,0.97,0.55,
Stockholms län,0180,Stockholm,01802717,Bromma 17 Blackeberg Ö,972,980,1215,80.66,12.96,8.33,4.53,4.73,31.07,18,5.45,11.42,1.44,0.41,0.51
Stockholms län,0180,Stockholm,01802718,Bromma 18 Södra Ängby,1131,1132,1210,93.55,39.7,15.03,16.53,6.9,6.28,2.21,5.39,7.07,0.27,0.35,0.09
Stockholms län,0180,Stockholm,01802719,Bromma 19 Johannesfred Ö,847,852,1013,84.11,17.47,8.38,5.67,5.55,25.86,12.75,7.2,15.23,0.35,0.71,0.59
Stockholms län,0180,Stockholm,01802720,Bromma 20 Johannesfred V,995,1001,1148,87.2,17.99,10.55,10.35,5.23,21.21,10.55,8.94,12.86,0.8,0.5,0.5
Stockholms län,0180,Stockholm,01802721,Bromma 21 Bällsta,474,476,536,88.81,31.43,9.92,9.49,6.75,17.3,5.27,5.27,13.5,0.21,0.21,
Stockholms län,0180,Stockholm,01802722,Bromma 22 Söderberga,881,889,1074,82.77,21.23,7.15,9.99,5.9,25.77,10.44,5.22,11.92,0.57,0.57,0.9
Stockholms län,0180,Stockholm,01802723,Bromma 23 Mariehäll S,801,806,922,87.42,28.21,12.23,9.11,4.37,20.47,6.87,6.37,10.61,0.25,0.37,0.5
Stockholms län,0180,Stockholm,01802724,Bromma 24 Blackeberg N,1001,1010,1166,86.62,17.08,7.79,7.89,4.6,26.37,14.89,6.69,12.09,0.5,1,0.79
Stockholms län,0180,Stockholm,01802725,Bromma 25 Mariehäll V,806,814,957,85.06,30.4,10.42,9.93,5.83,18.49,6.08,5.96,11.41,0.12,0.37,0.74
Stockholms län,0180,Stockholm,01802726,Bromma 26 Åkeslund V,1211,1217,1448,84.05,22.87,8.67,8.01,6.44,22.63,8.75,8.92,12.14,0.5,0.17,0.49
Stockholms län,0180,Stockholm,01802727,Bromma 27 Eneby,563,563,608,92.6,33.21,11.55,14.56,6.39,16.34,4.44,5.68,6.75,0.36,,
Stockholms län,0180,Stockholm,01802728,Bromma 28 Annedalsparken,1120,1121,1291,86.83,30.89,10.45,10.45,5.45,18.48,6.25,5.98,9.82,0.54,0.45,0.09
Stockholms län,0180,Stockholm,01802729,Bromma 29 Linaberg,1305,1316,1485,88.62,29.73,12.87,9.89,7.13,18.39,6.05,5.98,7.97,0.69,0.38,0.84
Stockholms län,0180,Stockholm,01802730,Bromma 30 Beckomberga N,1145,1149,1268,90.62,28.82,12.93,12.14,6.2,17.82,7.16,6.64,7.25,0.35,0.26,0.26
Stockholms län,0180,Stockholm,01802731,Bromma 31 Blackeberg S,737,741,886,83.63,11.94,6.51,7.19,3.39,25.64,15.06,11.13,15.74,1.22,0.54,0.54
Stockholms län,0180,Stockholm,01802732,Bromma 32 Lönnebergaparken,1121,1127,1268,88.88,21.23,11.95,8.03,5.62,22.48,10.7,8.12,9.46,0.8,0.27,0.44
Stockholms län,0180,Stockholm,01802801,Essinge 1 Lilla Essingen mellersta,1129,1137,1486,76.51,22.76,14.17,9.21,3.63,19.49,10.81,7.62,10.54,0.71,0.18,0.62
Stockholms län,0180,Stockholm,01802802,Essinge 2 Lilla Essingen N,1092,1105,1316,83.97,22.53,13.64,7.6,4.12,17.86,12.91,8.88,9.89,1.19,0.37,0.72
Stockholms län,0180,Stockholm,01802803,Essinge 3 Stora Essingen S,926,928,1056,87.88,27.86,12.74,9.72,6.37,15.44,8.32,7.99,9.07,0.97,0.43,0.22
Stockholms län,0180,Stockholm,01802804,Essinge 4 Stora Essingen N,1128,1130,1273,88.77,25.8,13.74,10.11,7.54,16.93,7.09,9.04,8.69,0.44,0.18,0.18
Stockholms län,0180,Stockholm,01802805,Essinge 5 Stora Essingen Ö,933,935,1055,88.63,23.15,12.97,10.08,6.22,18.54,10.5,7.18,9.86,0.43,0.32,
Stockholms län,0180,Stockholm,01802806,Essinge 6 Luxområdet,1251,1253,1377,90.99,33.81,14.87,12.31,6.79,14.07,3.28,5.84,8.15,0.16,0.4,0.16
Stockholms län,0180,Stockholm,01802901,Västerled 1 Smedslätten V,848,850,1113,76.37,44.1,11.2,15.45,7.9,6.25,3.77,4.83,5.54,0.12,0.12,0.12
Stockholms län,0180,Stockholm,01802902,Västerled 2 Äppelviken,1269,1269,1368,92.76,37.75,15.52,14.97,8.9,8.35,2.36,5.75,5.2,0.39,0.16,
Stockholms län,0180,Stockholm,01802903,Västerled 3 Stora Mossen,1023,1026,1125,91.2,40.86,12.41,14.76,8.7,6.65,2.05,6.45,7.43,0.39,,0.29
Stockholms län,0180,Stockholm,01802904,Västerled 4 Alvik,1105,1109,1262,87.88,28.96,10.59,9.86,6.88,15.2,9.86,8.33,8.6,0.72,0.27,0.27
Stockholms län,0180,Stockholm,01802905,Västerled 5 Johannelund,1062,1068,1239,86.2,18.36,11.21,8.95,5.08,20.81,12.71,9.42,11.21,0.47,0.47,0.56
Stockholms län,0180,Stockholm,01802906,Västerled 6 Traneberg S,1277,1287,1447,88.94,22.16,9.16,7.91,5.48,20.36,10.96,8.93,13.31,0.39,0.16,0.7
Stockholms län,0180,Stockholm,01802907,Västerled 7 Traneberg Ö,1079,1085,1232,88.07,23.26,10.01,10.01,5.93,17.98,11.58,9.45,10.01,1.11,,0.55
Stockholms län,0180,Stockholm,01802908,Västerled 8 Minneberg,851,851,950,89.58,24.91,9.99,9.75,5.52,27.03,6.11,7.05,8.58,0.47,0.35,
Stockholms län,0180,Stockholm,01802909,Västerled 9 Ulvsunda trädgårdsstad,786,791,878,90.09,25.06,16.03,14.89,6.11,14.12,6.11,6.11,9.92,0.38,0.38,0.51
